Title,Author,Genre,SubGenre
Fundamentals of Wavelets,"Goswami, Jaideva",tech,signal_processing
Data Smart,"Foreman, John",tech,data_science
God Created the Integers,"Hawking, Stephen",tech,mathematics
Superfreakonomics,"Dubner, Stephen",science,economics
Orientalism,"Said, Edward",nonfiction,history
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,data_science
Integration of the Indian States,"Menon, V P",nonfiction,history
"Drunkard's Walk, The","Mlodinow, Leonard",science,mathematics
Image Processing & Mathematical Morphology,"Shih, Frank",tech,signal_processing
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,psychology
Data Scientists at Work,Sebastian Gutierrez,tech,data_science
Slaughterhouse Five,"Vonnegut, Kurt",fiction,classic
Birth of a Theorem,"Villani, Cedric",science,mathematics
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,computer_science
"Age of Wrath, The","Eraly, Abraham",nonfiction,history
"Trial, The","Kafka, Frank",fiction,classic
Statistical Decision Theory',"Pratt, John",tech,data_science
Data Mining Handbook,"Nisbet, Robert",tech,data_science
"New Machiavelli, The","Wells, H. G.",fiction,novel
Physics & Philosophy,"Heisenberg, Werner",philosophy,science
Making Software,"Oram, Andy",tech,computer_science
"Analysis, Vol I","Tao, Terence",tech,mathematics
Machine Learning for Hackers,"Conway, Drew",tech,data_science
"Signal and the Noise, The","Silver, Nate",tech,data_science
Python for Data Analysis,"McKinney, Wes",tech,data_science
Introduction to Algorithms,"Cormen, Thomas",tech,computer_science
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,history
"Outsider, The","Camus, Albert",fiction,classic
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,classic
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,classic
"Wealth of Nations, The","Smith, Adam",science,economics
"Pillars of the Earth, The","Follett, Ken",fiction,novel
Mein Kampf,"Hitler, Adolf",nonfiction,autobiography
"Tao of Physics, The","Capra, Fritjof",science,physics
